cancer,feature,p_discordant,p_concordant,enrichment_ratio,n_discordant,n_concordant
PRAD,loc_Vesicles,0.13091309130913092,0.1281786941580756,1.0213326962723084,909,2910
PRAD,loc_Primary_cilium_tip,0.006600660066006601,0.006529209621993127,1.0109431995831162,909,2910
PRAD,loc_Primary_cilium_transition_zone,0.0044004400440044,0.004467353951890034,0.985021579080985,909,2910
PRAD,loc_Connecting_piece,0.006600660066006601,0.006872852233676976,0.9603960396039605,909,2910
PRAD,loc_Mitotic_spindle,0.006600660066006601,0.006872852233676976,0.9603960396039605,909,2910
PRAD,loc_Mid_piece,0.0165016501650165,0.01752577319587629,0.941564744709765,909,2910
PRAD,loc_Centrosome,0.0242024202420242,0.02577319587628866,0.9390539053905391,909,2910
PRAD,loc_Perinuclear_theca,0.005500550055005501,0.006185567010309278,0.8892555922258893,909,2910
PRAD,loc_Cytosol,0.32453245324532454,0.36666666666666664,0.8850885088508852,909,2910
PRAD,loc_Nucleoli_fibrillar_center,0.0165016501650165,0.018900343642611683,0.873087308730873,909,2910
PRAD,loc_Nucleoplasm,0.32673267326732675,0.37938144329896906,0.8612247094274645,909,2910
PRAD,loc_Endoplasmic_reticulum,0.052805280528052806,0.06323024054982818,0.8351269909599656,909,2910
PRAD,loc_Cell_Junctions,0.0165016501650165,0.01993127147766323,0.8279276203482417,909,2910
PRAD,loc_Nuclear_bodies,0.026402640264026403,0.03264604810996564,0.8087545596664929,909,2910
PRAD,loc_Primary_cilium,0.022002200220022004,0.0288659793814433,0.7622190790507622,909,2910
PRAD,loc_Principal_piece,0.0187018701870187,0.024742268041237112,0.7558672533920059,909,2910
PRAD,loc_Golgi_apparatus,0.066006600660066,0.0879725085910653,0.7503094059405939,909,2910
PRAD,loc_Basal_body,0.019801980198019802,0.026460481099656357,0.7483605503407483,909,2910
PRAD,loc_Microtubules,0.015401540154015401,0.020618556701030927,0.746974697469747,909,2910
PRAD,loc_End_piece,0.0088008800880088,0.013058419243986255,0.6739621330554108,909,2910
PRAD,loc_Equatorial_segment,0.0033003300330033004,0.005498281786941581,0.6002475247524752,909,2910
PRAD,loc_Centriolar_satellite,0.006600660066006601,0.01168384879725086,0.564938846825859,909,2910
PRAD,loc_Nuclear_speckles,0.019801980198019802,0.035395189003436425,0.5594540036527925,909,2910
PRAD,loc_Cytokinetic_bridge,0.006600660066006601,0.012371134020618556,0.5335533553355336,909,2910
PRAD,loc_Mitochondria,0.06490649064906491,0.13058419243986255,0.4970470731283655,909,2910
PRAD,loc_Acrosome,0.0033003300330033004,0.006872852233676976,0.48019801980198024,909,2910
PRAD,loc_Calyx,0.0033003300330033004,0.007216494845360825,0.45733144743045734,909,2910
